 --- 25015
justle --- 1
justly --- 3
Justus --- 3
Juttah --- 2
Kabzeel --- 3
Kadesh --- 17
Kadeshbarnea --- 10
Kadmiel --- 8
Kadmonites --- 1
Kallai --- 1
Kanah --- 3
Kareah --- 13
Karkaa --- 1
Karkor --- 1
Karnaim --- 1
Kartah --- 1
Kartan --- 1
Kattath --- 1
Kedar --- 12
Kedemah --- 2
Kedemoth --- 4
Kedesh --- 11
Kedeshnaphtali --- 1
keep --- 362
keeper --- 21
keepers --- 21
keepest --- 4
keepeth --- 46
Keeping --- 12
Kehelathah --- 2
Keilah --- 18
Kelaiah --- 1
Kelita --- 3
Kemuel --- 3
Kenan --- 1
Kenath --- 2
Kenaz --- 11
Kenezite --- 3
Kenite --- 6
Kenites --- 8
Kenizzites --- 1
kept --- 175
kerchiefs --- 2
Kerenhappuch --- 1
Kerioth --- 3
kernels --- 1
Keros --- 2
kettle --- 1
Keturah --- 4
key --- 6
keys --- 2
Kezia --- 1
Keziz --- 1
Kibrothhattaavah --- 5
Kibzaim --- 1
kick --- 3
kicked --- 1
kid --- 43
kidneys --- 18
Kidron --- 11
kids --- 8
kill --- 125
killed --- 67
killedst --- 2
killest --- 2
killeth --- 23
killing --- 5
kiln --- 1
kin --- 8
Kinah --- 1
kind --- 45
kindle --- 19
kindled --- 66
kindleth --- 3
kindly --- 10
kindness --- 48
kindred --- 28
kindreds --- 8
kinds --- 10
kine --- 24
King --- 2542
kingdom --- 342
kingdoms --- 57
kingly --- 1
kings --- 340
kinsfolk --- 2
kinsfolks --- 3
kinsman --- 17
kinsmen --- 7
kinswoman --- 3
kinswomen --- 1
Kir --- 5
Kirharaseth --- 1
Kirhareseth --- 1
Kirharesh --- 1
Kirheres --- 2
Kiriathaim --- 4
Kirioth --- 1
Kirjath --- 1
Kirjathaim --- 3
Kirjatharba --- 6
Kirjatharim --- 1
Kirjathbaal --- 2
Kirjathhuzoth --- 1
Kirjathjearim --- 18
Kirjathsannah --- 1
Kirjathsepher --- 4
Kish --- 21
Kishi --- 1
Kishion --- 1
Kishon --- 6
Kison --- 1
kiss --- 20
kissed --- 26
kisses --- 2
kite --- 2
Kithlish --- 1
Kitron --- 1
Kittim --- 2
knead --- 2
kneaded --- 3
kneadingtroughs --- 2
knee --- 6
kneel --- 2
kneeled --- 8
kneeling --- 3
knees --- 30
knew --- 169
knewest --- 10
knife --- 6
knit --- 6
knives --- 5
knock --- 4
knocked --- 1
knocketh --- 4
knocking --- 1
knop --- 10
knops --- 9
know --- 763
knowest --- 89
knoweth --- 104
knowing --- 51
knowledge --- 172
known --- 222
Koa --- 1
Kohath --- 32
Kohathites --- 15
Kolaiah --- 2
Korah --- 26
Korahite --- 1
Korahites --- 1
Korathites --- 1
Kore --- 4
Korhites --- 4
Koz --- 4
Kushaiah --- 1
Laadah --- 1
Laadan --- 7
Laban --- 55
labour --- 89
laboured --- 19
labourer --- 2
labourers --- 9
laboureth --- 5
labouring --- 4
labours --- 13
lace --- 4
Lachish --- 24
lack --- 15
lacked --- 11
lackest --- 2
lacketh --- 5
lacking --- 8
lad --- 34
ladder --- 1
lade --- 3
laded --- 4
laden --- 6
ladeth --- 1
ladies --- 2
lading --- 2
lads --- 1
lady --- 4
Lael --- 1
Lahad --- 1
Lahairoi --- 2
Lahmam --- 1
Lahmi --- 1
laid --- 279
laidst --- 1
lain --- 6
Laish --- 7
lake --- 10
Lakum --- 1
lama --- 2
lamb --- 107
lambs --- 81
lame --- 27
Lamech --- 12
lament --- 21
lamentable --- 1
lamentation --- 25
lamentations --- 4
lamented --- 11
lamp --- 13
lamps --- 37
lance --- 1
lancets --- 1
land --- 1718
landed --- 2
landing --- 1
landmark --- 4
landmarks --- 1
lands --- 46
lanes --- 1
language --- 27
languages --- 7
languish --- 5
languished --- 1
languisheth --- 8
languishing --- 1
lanterns --- 1
Laodicea --- 5
Laodiceans --- 2
lap --- 3
Lapidoth --- 1
lapped --- 2
lappeth --- 2
lapwing --- 2
large --- 21
largeness --- 1
lasciviousness --- 6
Lasea --- 1
Lasha --- 1
Lasharon --- 1
last --- 85
lasted --- 1
lasting --- 1
latchet --- 4
late --- 3
lately --- 1
Latin --- 2
latter --- 42
lattice --- 3
laud --- 1
laugh --- 18
laughed --- 13
laugheth --- 1
laughing --- 1
laughter --- 7
Launch --- 1
launched --- 4
laver --- 15
lavers --- 5
lavish --- 1
law --- 523
lawful --- 39
lawfully --- 2
lawgiver --- 7
lawless --- 1
laws --- 20
lawyer --- 3
lawyers --- 5
lay --- 241
layedst --- 1
layest --- 2
layeth --- 18
laying --- 13
Lazarus --- 15
lead --- 60
leader --- 3
leaders --- 3
leadest --- 1
leadeth --- 14
leaf --- 11
league --- 19
Leah --- 34
lean --- 11
leaned --- 6
leaneth --- 2
leanfleshed --- 3
leaning --- 3
leanness --- 5
leap --- 9
leaped --- 8
leaping --- 4
learn --- 32
learned --- 22
learning --- 9
leasing --- 2
least --- 39
leather --- 1
leathern --- 1
leave --- 115
leaved --- 1
leaven --- 23
leavened --- 14
leaveneth --- 2
leaves --- 19
leaveth --- 6
leaving --- 5
Lebana --- 1
Lebanah --- 1
Lebanon --- 71
Lebaoth --- 1
Lebbaeus --- 1
Lebonah --- 1
Lecah --- 1
led --- 68
leddest --- 5
ledges --- 5
leeks --- 1
lees --- 4
left --- 348
leftest --- 1
lefthanded --- 2
leg --- 1
Legion --- 3
legions --- 1
legs --- 19
Lehabim --- 2
Lehi --- 3
leisure --- 1
Lemuel --- 2
lend --- 16
lender --- 2
lendeth --- 4
length --- 77
lengthen --- 2
lengthened --- 1
lengthening --- 1
lent --- 7
lentiles --- 4
leopard --- 6
leopards --- 2
leper --- 17
lepers --- 6
leprosy --- 39
leprous --- 6
Leshem --- 2
less --- 27
lesser --- 3
lest --- 240
Let --- 1511
letter --- 37
letters --- 34
lettest --- 3
letteth --- 3
letting --- 1
Letushim --- 1
Leummim --- 1
Levi --- 72
leviathan --- 5
Levite --- 28
Levites --- 265
Levitical --- 1
Leviticus --- 1
levy --- 6
lewd --- 3
lewdly --- 1
lewdness --- 17
liar --- 13
liars --- 8
liberal --- 6
liberality --- 2
liberally --- 2
Libertines --- 1
liberty --- 27
Libnah --- 18
Libni --- 5
Libnites --- 2
Libya --- 3
Libyans --- 2
lice --- 6
licence --- 2
lick --- 5
licked --- 4
licketh --- 1
lid --- 1
lie --- 155
lied --- 4
lien --- 3
liers --- 10
lies --- 51
liest --- 5
lieth --- 59
lieutenants --- 4
life --- 450
lifetime --- 3
lift --- 104
lifted --- 158
lifter --- 1
liftest --- 4
lifteth --- 10
lifting --- 9
light --- 272
lighted --- 13
lighten --- 7
lightened --- 5
lighteneth --- 2
lighter --- 5
lightest --- 1
lighteth --- 3
lighting --- 2
lightly --- 7
lightness --- 3
lightning --- 13
lightnings --- 14
lights --- 10
lign --- 1
ligure --- 2
like --- 669
liked --- 1
likeminded --- 3
liken --- 9
likened --- 6
likeness --- 34
liketh --- 3
Likewise --- 107
Likhi --- 1
liking --- 2
lilies --- 10
lily --- 5
lime --- 2
limit --- 1
limited --- 1
limiteth --- 1
line --- 31
lineage --- 1
linen --- 104
lines --- 2
lingered --- 2
lingereth --- 1
lintel --- 4
lintels --- 1
Linus --- 1
lion --- 104
lioness --- 1
lionesses --- 1
lionlike --- 2
lions --- 46
lip --- 3
lips --- 119
liquor --- 2
liquors --- 1
listed --- 2
Listen --- 1
listeth --- 2
litters --- 1
little --- 242
live --- 247
lived --- 58
lively --- 5
liver --- 14
lives --- 28
livest --- 4
liveth --- 96
living --- 147
lizard --- 1
lo --- 159
loaden --- 1
loadeth --- 1
loaf --- 3
Loammi --- 1
loan --- 1
loathe --- 1
loatheth --- 2
loathsome --- 4
loaves --- 32
lock --- 2
locked --- 2
locks --- 15
locust --- 12
locusts --- 16
Lod --- 4
Lodebar --- 3
lodge --- 27
lodged --- 21
lodgest --- 1
lodgeth --- 1
lodging --- 6
lodgings --- 1
loft --- 2
loftily --- 1
loftiness --- 2
lofty --- 8
log --- 5
loins --- 63
Lois --- 1
long --- 212
longed --- 8
longedst --- 1
longer --- 17
longeth --- 4
longing --- 3
longsuffering --- 16
longwinged --- 1
look --- 156
looked --- 143
lookest --- 2
looketh --- 33
looking --- 30
lookingglasses --- 1
looks --- 5
loops --- 13
loose --- 29
loosed --- 32
looseth --- 2
loosing --- 4
lop --- 1
LORD --- 7964
lordly --- 1
lords --- 42
lordship --- 2
Loruhamah --- 2
lose --- 24
loseth --- 1
loss --- 10
lost --- 33
Lot --- 113
Lotan --- 7
lothe --- 4
lothed --- 3
lotheth --- 1
lothing --- 1
lots --- 24
loud --- 60
louder --- 2
love --- 311
loved --- 98
lovedst --- 2
lovely --- 4
lover --- 4
lovers --- 23
loves --- 2
lovest --- 12
loveth --- 65
loving --- 3
lovingkindness --- 26
lovingkindnesses --- 4
low --- 46
lower --- 18
lowering --- 1
lowest --- 11
loweth --- 1
lowing --- 2
lowliness --- 2
lowly --- 6
Lubim --- 1
Lubims --- 2
Lucas --- 1
Lucifer --- 1
Lucius --- 2
lucre --- 6
Lud --- 4
Ludim --- 2
Luhith --- 2
Luke --- 3
lukewarm --- 1
lump --- 7
lunatick --- 2
lurk --- 2
lurking --- 3
lust --- 19
lusted --- 4
lusteth --- 6
lusting --- 1
lusts --- 24
lusty --- 1
Luz --- 8
Lycaonia --- 2
Lycia --- 1
Lydda --- 3
Lydia --- 3
Lydians --- 1
lying --- 57
Lysanias --- 1
Lysias --- 3
Lystra --- 6
Maacah --- 3
Maachah --- 18
Maachathi --- 1
Maachathite --- 4
Maachathites --- 4
Maadai --- 1
Maadiah --- 1
Maai --- 1
Maalehacrabbim --- 1
Maarath --- 1
Maaseiah --- 25
Maasiai --- 1
Maath --- 1
Maaz --- 1
Maaziah --- 2
Macedonia --- 26
Macedonian --- 1
Machbanai --- 1
Machbenah --- 1
Machi --- 1
Machir --- 22
Machirites --- 1
Machnadebai --- 1
Machpelah --- 6
mad --- 22
Madai --- 2
made --- 1405
madest --- 10
Madian --- 1
Madmannah --- 2
Madmen --- 1
Madmenah --- 1
madness --- 9
Madon --- 2
Magbish --- 1
Magdala --- 1
Magdalene --- 12
Magdiel --- 2
magician --- 1
magicians --- 15
magistrate --- 2
magistrates --- 8
magnifical --- 1
magnificence --- 1
magnified --- 21
magnify --- 19
Magog --- 5
Magormissabib --- 1
Magpiash --- 1
Mahalah --- 1
Mahalaleel --- 7
Mahalath --- 2
Mahali --- 1
Mahanaim --- 13
Mahanehdan --- 1
Maharai --- 3
Mahath --- 3
Mahavite --- 1
Mahazioth --- 2
Mahershalalhashbaz --- 2
Mahlah --- 4
Mahli --- 11
Mahlites --- 2
Mahlon --- 4
Mahol --- 1
maid --- 37
maiden --- 8
maidens --- 18
maids --- 9
maidservant --- 17
maidservants --- 10
mail --- 2
maimed --- 7
mainsail --- 1
maintain --- 10
maintained --- 1
maintainest --- 1
maintenance --- 2
majesty --- 29
Makaz --- 1
make --- 1056
maker --- 20
makers --- 1
makest --- 26
maketh --- 126
Makheloth --- 2
making --- 30
Makkedah --- 9
Maktesh --- 1
Malachi --- 2
Malcham --- 2
Malchiah --- 9
Malchiel --- 3
Malchielites --- 1
Malchijah --- 6
Malchiram --- 1
Malchishua --- 3
Malchus --- 1
male --- 46
malefactor --- 1
malefactors --- 3
Maleleel --- 1
males --- 32
malice --- 6
malicious --- 1
maliciousness --- 2
malignity --- 1
Mallothi --- 2
mallows --- 1
Malluch --- 6
mammon --- 4
Mamre --- 10
man --- 2735
Manaen --- 1
Manahath --- 3
Manahethites --- 2
Manasseh --- 147
Manasses --- 3
Manassites --- 3
mandrakes --- 6
maneh --- 1
manger --- 3
manifest --- 39
manifestation --- 3
manifested --- 10
manifestly --- 1
manifold --- 8
mankind --- 6
manna --- 19
manner --- 196
manners --- 6
Manoah --- 18
manservant --- 13
manservants --- 1
mansions --- 1
manslayer --- 2
manslayers --- 1
mantle --- 13
mantles --- 1
many --- 556
Maoch --- 1
Maon --- 7
Maonites --- 1
mar --- 6
Mara --- 1
Marah --- 5
Maralah --- 1
Maranatha --- 1
marble --- 5
march --- 5
marched --- 1
marchedst --- 1
Marcus --- 3
Mareshah --- 8
mariners --- 5
marishes --- 1
mark --- 38
marked --- 6
markest --- 1
market --- 7
marketh --- 3
marketplace --- 3
marketplaces --- 1
markets --- 4
marks --- 2
Maroth --- 1
marred --- 5
marriage --- 19
marriages --- 3
married --- 30
marrieth --- 4
marrow --- 5
marry --- 22
marrying --- 2
Mars --- 1
Marsena --- 1
mart --- 1
Martha --- 13
martyr --- 2
martyrs --- 1
marvel --- 11
marvelled --- 23
marvellous --- 24
marvellously --- 2
marvelously --- 1
marvels --- 1
Mary --- 54
Mash --- 1
Mashal --- 1
masons --- 7
Masrekah --- 2
Massa --- 2
Massah --- 4
mast --- 2
master --- 181
masterbuilder --- 1
masteries --- 1
masters --- 22
mastery --- 3
masts --- 1
mate --- 2
Mathusala --- 1
Matred --- 2
Matri --- 1
matrix --- 5
Mattan --- 3
Mattanah --- 2
Mattaniah --- 16
Mattatha --- 1
Mattathah --- 1
Mattathias --- 2
Mattenai --- 3
matter --- 80
matters --- 23
Matthan --- 2
Matthat --- 2
Matthew --- 6
Matthias --- 2
Mattithiah --- 8
mattock --- 2
mattocks --- 2
maul --- 1
maw --- 1
may --- 1027
mayest --- 114
Mazzaroth --- 1
me --- 4096
meadow --- 2
meadows --- 1
Meah --- 2
meal --- 12
mealtime --- 1
mean --- 22
meanest --- 4
meaneth --- 8
meaning --- 3
means --- 35
meant --- 3
Mearah --- 1
measure --- 69
measured --- 46
measures --- 39
measuring --- 11
meat --- 290
meats --- 8
Mebunnai --- 1
Mecherathite --- 1
Medad --- 2
Medan --- 2
Meddle --- 6
meddled --- 1
meddleth --- 1
meddling --- 2
Mede --- 1
Medeba --- 5
Medes --- 14
Media --- 6
Median --- 1
mediator --- 7
medicine --- 2
medicines --- 2
meditate --- 14
meditation --- 6
meek --- 17
meekness --- 14
meet --- 132
meetest --- 2
meeteth --- 3
meeting --- 2
Megiddo --- 11
Megiddon --- 1
Mehetabeel --- 1
Mehetabel --- 2
Mehida --- 2
Mehir --- 1
Meholathite --- 2
Mehujael --- 2
Mehuman --- 1
Mehunim --- 1
Mehunims --- 1
Mejarkon --- 1
Mekonah --- 1
Melatiah --- 1
Melchi --- 2
Melchiah --- 1
Melchisedec --- 9
Melchishua --- 2
Melchizedek --- 2
Melea --- 1
Melech --- 2
Melicu --- 1
Melita --- 1
melody --- 4
melons --- 1
melt --- 17
melted --- 13
melteth --- 7
melting --- 1
Melzar --- 2
member --- 6
members --- 32
memorial --- 32
memory --- 6
Memphis --- 1
Memucan --- 3
men --- 1677
Menahem --- 8
Menan --- 1
menchildren --- 1
mend --- 1
mending --- 2
MENE --- 3
menpleasers --- 2
menservants --- 10
menstealers --- 1
menstruous --- 3
mention --- 23
mentioned --- 7
Meonenim --- 1
Meonothai --- 1
Mephaath --- 4
Mephibosheth --- 15
Merab --- 3
Meraiah --- 1
Meraioth --- 7
Merari --- 39
Merarites --- 1
Merathaim --- 1
merchandise --- 22
merchant --- 12
merchantmen --- 2
merchants --- 29
mercies --- 44
merciful --- 40
Mercurius --- 1
mercy --- 276
mercyseat --- 1
Mered --- 2
Meremoth --- 6
Meres --- 1
Meribah --- 6
MeribahKadesh --- 1
Meribbaal --- 4
Merodach --- 1
Merodachbaladan --- 1
Merom --- 2
Meronothite --- 2
Meroz --- 1
merrily --- 1
merry --- 28
merryhearted --- 1
Mesech --- 1
Mesha --- 4
Meshach --- 15
Meshech --- 8
Meshelemiah --- 4
Meshezabeel --- 3
Meshillemith --- 1
Meshillemoth --- 2
Meshobab --- 1
Meshullam --- 25
Meshullemeth --- 1
Mesobaite --- 1
Mesopotamia --- 7
mess --- 2
message --- 7
messenger --- 34
messengers --- 79
messes --- 1
Messiah --- 2
Messias --- 2
met --- 45
mete --- 6
meted --- 3
meteyard --- 1
Methegammah --- 1
Methusael --- 2
Methuselah --- 6
Meunim --- 1
Mezahab --- 2
Miamin --- 2
Mibhar --- 1
Mibsam --- 3
Mibzar --- 2
Micah --- 32
Micaiah --- 18
mice --- 4
Micha --- 4
Michael --- 15
Michah --- 3
Michaiah --- 7
Michal --- 18
Michmas --- 2
Michmash --- 9
Michmethah --- 2
Michri --- 1
midday --- 3
Middin --- 1
middle --- 18
middlemost --- 2
Midian --- 39
Midianite --- 1
Midianites --- 24
Midianitish --- 3
midnight --- 14
midst --- 364
midwife --- 3
midwives --- 7
Migdalel --- 1
Migdalgad --- 1
Migdol --- 4
might --- 475
mightest --- 19
mightier --- 13
mighties --- 2
mightiest --- 1
mightily --- 11
mighty --- 284
Migron --- 2
Mijamin --- 2
Mikloth --- 4
Mikneiah --- 2
Milalai --- 1
Milcah --- 11
milch --- 3
Milcom --- 3
mildew --- 5
mile --- 1
Miletum --- 1
Miletus --- 2
milk --- 48
mill --- 2
millet --- 1
millions --- 1
Millo --- 10
mills --- 1
millstone --- 9
millstones --- 2
mincing --- 1
mind --- 95
minded --- 15
mindful --- 10
minding --- 1
minds --- 16
mine --- 649
mingle --- 2
mingled --- 55
Miniamin --- 3
minish --- 1
minished --- 1
minister --- 100
ministered --- 37
ministereth --- 2
ministering --- 9
ministers --- 26
ministration --- 7
ministry --- 22
Minni --- 1
Minnith --- 2
minstrel --- 2
minstrels --- 1
mint --- 2
Miphkad --- 1
miracle --- 10
miracles --- 27
mire --- 15
Miriam --- 15
Mirma --- 1
mirth --- 15
miry --- 4
miscarrying --- 1
mischief --- 47
mischiefs --- 3
mischievous --- 5
miserable --- 3
miserably --- 1
miseries --- 2
misery --- 7
Misgab --- 1
Mishael --- 8
Mishal --- 1
Misham --- 1
Misheal --- 1
Mishma --- 4
Mishmannah --- 1
Mishraites --- 1
Mispereth --- 1
Misrephothmaim --- 2
miss --- 2
missed --- 3
missing --- 2
mist --- 3
mistress --- 9
misused --- 1
mite --- 1
mites --- 2
Mithcah --- 2
Mithnite --- 1
Mithredath --- 2
mitre --- 13
Mitylene --- 1
mixed --- 9
mixt --- 1
mixture --- 3
Mizar --- 1
Mizpah --- 23
Mizpar --- 1
Mizpeh --- 23
Mizraim --- 4
Mizzah --- 3
Mnason --- 1
Moab --- 168
Moabite --- 3
Moabites --- 19
Moabitess --- 6
Moabitish --- 1
Moadiah --- 1
mock --- 12
mocked --- 21
mocker --- 1
mockers --- 5
mockest --- 1
mocketh --- 5
mocking --- 5
mockings --- 1
moderately --- 1
moderation --- 1
modest --- 1
moist --- 1
moistened --- 1
moisture --- 2
Moladah --- 4
mole --- 1
Molech --- 8
moles --- 1
Molid --- 1
mollified --- 1
Moloch --- 2
molten --- 39
moment --- 22
money --- 140
moneychangers --- 2
monsters --- 1
month --- 250
monthly --- 1
months --- 59
monuments --- 1
moon --- 51
moons --- 11
Morasthite --- 2
Mordecai --- 60
more --- 686
Moreh --- 3
moreover --- 170
Moreshethgath --- 1
morever --- 1
Moriah --- 2
morning --- 227
morrow --- 102
morsel --- 10
morsels --- 1
mortal --- 6
mortality --- 1
mortally --- 1
mortar --- 2
morter --- 11
mortgaged --- 1
mortify --- 2
Mosera --- 1
Moseroth --- 2
Moses --- 852
most --- 135
mote --- 6
moth --- 10
motheaten --- 1
mother --- 320
mothers --- 8
motions --- 1
mouldy --- 2
mount --- 263
mountain --- 136
mountains --- 178
mounted --- 1
mounting --- 1
mounts --- 3
mourn --- 45
mourned --- 22
mourner --- 1
mourners --- 4
mourneth --- 11
mournfully --- 1
mourning --- 51
mouse --- 2
mouth --- 423
mouths --- 19
move --- 13
moveable --- 1
moved --- 75
movedst --- 1
mover --- 1
moveth --- 8
moving --- 5
mower --- 1
mowings --- 1
mown --- 1
Moza --- 5
Mozah --- 1
much --- 287
mufflers --- 1
mulberry --- 4
mule --- 9
mules --- 12
multiplied --- 44
multipliedst --- 1
multiplieth --- 3
multiply --- 46
multiplying --- 2
multitude --- 243
multitudes --- 24
munition --- 2
munitions --- 1
Muppim --- 1
murder --- 9
murderer --- 20
murderers --- 10
murders --- 4
murmur --- 9
murmured --- 19
murmurers --- 1
murmuring --- 2
murmurings --- 9
murrain --- 1
muse --- 1
mused --- 1
Mushi --- 8
Mushites --- 2
musical --- 3
musicians --- 1
musick --- 16
musing --- 1
must --- 132
mustard --- 5
mustered --- 2
mustereth --- 1
mutter --- 1
muttered --- 1
mutual --- 1
muzzle --- 3
my --- 4368
Myra --- 1
myrrh --- 17
myrtle --- 6
myself --- 118
Mysia --- 2
mysteries --- 5
mystery --- 22
Naam --- 1
Naamah --- 5
Naaman --- 17
Naamathite --- 4
Naamites --- 1
Naarah --- 3
Naarai --- 1
Naaran --- 1
Naarath --- 1
Naashon --- 1
Naasson --- 3
Nabal --- 22
Naboth --- 22
Nachon --- 1
Nachor --- 2
Nadab --- 20
Nagge --- 1
Nahalal --- 1
Nahaliel --- 2
Nahallal --- 1
Nahalol --- 1
Naham --- 1
Nahamani --- 1
Naharai --- 1
Nahari --- 1
Nahash --- 9
Nahath --- 5
Nahbi --- 1
Nahor --- 17
Nahshon --- 9
Nahum --- 2
nail --- 8
nailing --- 1
nails --- 10
Nain --- 1
Naioth --- 6
naked --- 47
nakedness --- 57
name --- 958
named --- 57
namely --- 23
names --- 97
nameth --- 1
Naomi --- 21
Naphish --- 2
Naphtali --- 50
Naphtuhim --- 2
napkin --- 3
Narcissus --- 1
narrow --- 9
narrowed --- 1
narrower --- 1
narrowly --- 2
Nathan --- 42
Nathanael --- 6
Nathanmelech --- 1
nation --- 145
nations --- 336
native --- 1
nativity --- 7
natural --- 13
naturally --- 2
nature --- 12
naught --- 3
naughtiness --- 3
naughty --- 3
Naum --- 1
navel --- 4
naves --- 1
navy --- 6
Nay --- 55
Nazarene --- 1
Nazarenes --- 1
Nazareth --- 29
Nazarite --- 9
Nazarites --- 3
Neah --- 1
Neapolis --- 1
near --- 211
nearer --- 2
Neariah --- 3
Nebai --- 1
Nebaioth --- 2
Nebajoth --- 3
Neballat --- 1
Nebat --- 25
Nebo --- 13
Nebuchadnezzar --- 60
Nebuchadrezzar --- 31
Nebushasban --- 1
Nebuzaradan --- 15
necessary --- 9
necessities --- 3
necessity --- 10
Necho --- 3
neck --- 62
necks --- 18
necromancer --- 1
Nedabiah --- 1
need --- 49
needed --- 2
needest --- 1
needeth --- 6
needful --- 6
needle --- 3
needlework --- 9
needs --- 16
needy --- 38
neesings --- 1
neglect --- 4
neglected --- 1
neglecting --- 1
negligent --- 2
Nehelamite --- 3
Nehemiah --- 9
Nehum --- 1
Nehushta --- 1
Nehushtan --- 1
Neiel --- 1
neighbour --- 135
neighbours --- 22
neighed --- 1
neighing --- 1
neighings --- 1
neither --- 879
Nekeb --- 1
Nekoda --- 4
Nemuel --- 3
Nemuelites --- 1
Nepheg --- 4
nephew --- 2
nephews --- 2
Nephish --- 1
Nephishesim --- 1
Nephthalim --- 3
Nephtoah --- 2
Nephusim --- 1
Ner --- 16
Nereus --- 1
Nergal --- 1
Nergalsharezer --- 3
Neri --- 1
Neriah --- 10
nest --- 15
nests --- 4
net --- 39
Nethaneel --- 14
Nethaniah --- 20
nether --- 15
nethermost --- 1
Nethinims --- 18
Netophah --- 2
Netophathi --- 1
Netophathite --- 8
Netophathites --- 2
nets --- 13
nettles --- 5
network --- 7
networks --- 3
never --- 86
nevertheless --- 96
neverthless --- 1
new --- 151
newborn --- 1
newly --- 2
newness --- 2
news --- 1
next --- 60
Neziah --- 2
Nezib --- 1
Nibhaz --- 1
Nibshan --- 1
Nicanor --- 1
Nicodemus --- 5
Nicolaitanes --- 2
Nicolas --- 1
Nicopolis --- 1
Niger --- 1
nigh --- 100
Night --- 307
nights --- 18
Nimrah --- 1
Nimrim --- 2
Nimrod --- 4
Nimshi --- 5
nine --- 50
nineteen --- 3
nineteenth --- 4
ninety --- 24
Nineve --- 1
Nineveh --- 18
Ninevites --- 1
ninth --- 34
Nisan --- 2
Nisroch --- 2
nitre --- 2
no --- 1394
Noadiah --- 2
Noah --- 53
Nob --- 6
Nobah --- 3
noble --- 7
nobleman --- 3
nobles --- 30
Nod --- 1
Nodab --- 1
Noe --- 5
Nogah --- 2
Nohah --- 1
noise --- 88
noised --- 4
noisome --- 4
Non --- 1
none --- 358
noon --- 15
noonday --- 7
noontide --- 1
Noph --- 7
Nophah --- 1
nor --- 755
north --- 132
northern --- 2
northward --- 24
nose --- 12
noses --- 2
nostrils --- 15
not --- 6596
notable --- 5
note --- 3
noted --- 1
nothing --- 225
notice --- 2
Notwithstanding --- 36
nought --- 36
nourish --- 5
nourished --- 10
nourisher --- 1
nourisheth --- 1
nourishing --- 1
nourishment --- 1
novice --- 1
now --- 1356
number --- 178
numbered --- 128
numberest --- 3
numbering --- 2
Numbers --- 4
Nun --- 29
nurse --- 10
nursed --- 2
nursing --- 3
nurture --- 1
nuts --- 2
Nymphas --- 1
O --- 1065
oak --- 15
oaks --- 6
oar --- 1
oars --- 2
oath --- 61
oaths --- 3
Obadiah --- 21
Obal --- 1
Obed --- 13
Obededom --- 20
obedience --- 12
obedient --- 16
obeisance --- 9
obey --- 69
obeyed --- 41
obeyedst --- 2
obeyeth --- 3
obeying --- 3
Obil --- 1
object --- 1
oblation --- 35
oblations --- 5
Oboth --- 4
obscure --- 1
obscurity --- 3
observation --- 1
observe --- 55
observed --- 11
observer --- 1
observers --- 1
observest --- 1
observeth --- 1
obstinate --- 2
obtain --- 15
obtained --- 28
obtaineth --- 2
obtaining --- 1
occasion --- 21
occasioned --- 1
occasions --- 3
occupation --- 5
occupied --- 7
occupiers --- 1
occupieth --- 1
occupy --- 2
occurrent --- 1
Ocran --- 5
odd --- 1
Oded --- 3
odious --- 2
odour --- 2
odours --- 7
of --- 34670
off --- 507
offence --- 19
offences --- 7
offend --- 25
offended --- 25
offender --- 2
offenders --- 1
offer --- 236
offered --- 143
offereth --- 15
offering --- 724
offerings --- 265
office --- 46
officer --- 12
officers --- 58
offices --- 5
offscouring --- 2
offspring --- 12
oft --- 13
often --- 15
oftener --- 1
oftentimes --- 6
ofttimes --- 3
Og --- 22
Oh --- 38
Ohad --- 2
Ohel --- 1
oil --- 202
oiled --- 2
ointment --- 27
ointments --- 5
Old --- 381
oldness --- 1
olive --- 38
olives --- 15
Olivet --- 2
oliveyard --- 1
oliveyards --- 5
Olympas --- 1
Omar --- 3
Omega --- 4
omer --- 5
omers --- 1
omitted --- 1
omnipotent --- 1
Omri --- 18
on --- 2011
Onam --- 4
Onan --- 8
once --- 59
one --- 1969
ones --- 77
Onesimus --- 2
Onesiphorus --- 2
onions --- 1
only --- 253
Ono --- 5
onward --- 1
onycha --- 1
onyx --- 11
open --- 124
opened --- 137
openest --- 2
openeth --- 21
opening --- 7
openings --- 1
openly --- 15
operation --- 3
operations --- 1
Ophel --- 5
Ophir --- 13
Ophni --- 1
Ophrah --- 8
opinion --- 3
opinions --- 1
opportunity --- 5
oppose --- 1
opposed --- 1
opposest --- 1
opposeth --- 1
oppositions --- 1
oppress --- 23
oppressed --- 38
oppresseth --- 5
oppressing --- 3
oppression --- 24
oppressions --- 3
oppressor --- 14
oppressors --- 8
or --- 1122
oracle --- 17
oracles --- 4
oration --- 1
orator --- 2
orchard --- 1
orchards --- 1
ordain --- 5
ordained --- 35
ordaineth --- 1
order --- 61
ordered --- 4
ordereth --- 1
orderings --- 1
orderly --- 1
ordinance --- 30
ordinances --- 27
ordinary --- 1
Oreb --- 7
Oren --- 1
organ --- 3
organs --- 1
Orion --- 3
ornament --- 7
ornaments --- 14
Ornan --- 12
Orpah --- 2
orphans --- 1
Osee --- 1
Oshea --- 2
ospray --- 2
ossifrage --- 2
ostrich --- 1
ostriches --- 1
other --- 464
